name,type,dp,MW,LogP,TPSA
PS-b-PMMA_alternating_DP5,alternating,5,1011.265000000001,14.74449999999997,131.50000000000003
PS-b-PMMA_alternating_DP10,alternating,10,2022.5300000000018,29.489000000000058,262.99999999999994
